No. of substructures,64,,,,,,,,,,,
DV Bounds:,Units: SI (m),,,,,,,,,,,
Thick13  Min:,0.0005, Max:,0.002, Step:,0.0005,,,,,,,
Thick24  Min:,0.0005, Max:,0.002, Step:,0.0005,,,,,,,
"Fillet	 Min:",0.0004, Max:,0.00175, Step:,0.00045,,,,,,,
CornerSize: ,0.0018,,,,,,,,,,,
Substructure,ID,Material,K_xy,K_y,K_theta,mass,maxMises1,maxMises2,maxMises3,Thick13,Thick24,Fillet
Cross,1,Titanium Alpha-Beta,5242492928,5711630848,132476.188,0.181,56197132,53466812,555449600,0.05,0.05,0.04
Cross,2,Titanium Alpha-Beta,5436303872,6004744192,137845.562,0.183,44247188,56645732,492672544,0.05,0.05,0.085
Cross,3,Titanium Alpha-Beta,5686848512,6367858176,144836.188,0.185,41227252,59944968,532781344,0.05,0.05,0.13
Cross,4,Titanium Alpha-Beta,5999417856,6857595392,153990.203,0.19,43638144,65840704,586767616,0.05,0.05,0.175
Cross,5,Titanium Alpha-Beta,6892290560,7833837568,176984.141,0.195,50095120,67026360,553542784,0.05,0.1,0.04
Cross,6,Titanium Alpha-Beta,7074414080,8168302592,182566.703,0.197,49079232,67705872,536174272,0.05,0.1,0.085
Cross,7,Titanium Alpha-Beta,7317518336,8631477248,190468.344,0.2,49897912,75656416,564674816,0.05,0.1,0.13
Cross,8,Titanium Alpha-Beta,7625105408,9213376512,200664.906,0.204,51365524,78717632,612588416,0.05,0.1,0.175
Cross,9,Titanium Alpha-Beta,8324281344,9895503872,218909.812,0.211,61183656,72605336,675555840,0.05,0.15,0.04
Cross,10,Titanium Alpha-Beta,8499648000,10274253824,225161.891,0.213,61656628,76445160,688635712,0.05,0.15,0.085
Cross,11,Titanium Alpha-Beta,8738320384,10815758336,233970.172,0.216,62370228,83328160,703922112,0.05,0.15,0.13
Cross,12,Titanium Alpha-Beta,9043815424,11509561344,245545.094,0.22,63363524,86842936,723977984,0.05,0.15,0.175
Cross,13,Titanium Alpha-Beta,9684412416,12156093440,262485.344,0.228,70458224,79664232,776608064,0.05,0.2,0.04
Cross,14,Titanium Alpha-Beta,9861143552,12614017024,269599.719,0.23,70726680,85746928,786282816,0.05,0.2,0.085
Cross,15,Titanium Alpha-Beta,10096495616,13246740480,279672.062,0.233,71221192,93788576,799454976,0.05,0.2,0.13
Cross,16,Titanium Alpha-Beta,10404511744,14066108416,292810.906,0.237,71939032,97431136,814698112,0.05,0.2,0.175
Cross,17,Titanium Alpha-Beta,6895374336,7839953920,177020.25,0.195,50132776,68075800,558775488,0.1,0.05,0.04
Cross,18,Titanium Alpha-Beta,7078209536,8176529920,182689.078,0.197,48936948,67364736,534578400,0.1,0.05,0.085
Cross,19,Titanium Alpha-Beta,7320808960,8639020032,190516.078,0.2,50054928,74466696,553966848,0.1,0.05,0.13
Cross,20,Titanium Alpha-Beta,7626665984,9215491072,200713.781,0.204,51416116,77532536,600769472,0.1,0.05,0.175
Cross,21,Titanium Alpha-Beta,8466312704,10385244160,220653.203,0.209,50471956,65315604,560349440,0.1,0.1,0.04
Cross,22,Titanium Alpha-Beta,8643734528,10843517952,227222.484,0.211,49323724,61486316,544516992,0.1,0.1,0.085
Cross,23,Titanium Alpha-Beta,8878087168,11429254144,236211.016,0.214,50780684,64396404,563075584,0.1,0.1,0.13
Cross,24,Titanium Alpha-Beta,9174681600,12142645248,247976.281,0.218,52258324,67395392,581799232,0.1,0.1,0.175
Cross,25,Titanium Alpha-Beta,9835511808,12780563456,262694.406,0.224,61114356,71350456,675111168,0.1,0.15,0.04
Cross,26,Titanium Alpha-Beta,10006796288,13344234496,270282.281,0.226,61554768,69364976,687067328,0.1,0.15,0.085
Cross,27,Titanium Alpha-Beta,10232982528,14030159872,280712.469,0.229,62416196,72852552,705070400,0.1,0.15,0.13
Cross,28,Titanium Alpha-Beta,10521889792,14866801664,294054.469,0.233,63626588,75174328,726502336,0.1,0.15,0.175
Cross,29,Titanium Alpha-Beta,11144729600,15297344512,307043.875,0.24,69952096,84335488,777543232,0.1,0.2,0.04
Cross,30,Titanium Alpha-Beta,11310743552,15959612416,315962.281,0.242,70365600,80581360,788710272,0.1,0.2,0.085
Cross,31,Titanium Alpha-Beta,11537710080,16762960896,327983.844,0.245,71018992,81530240,802533120,0.1,0.2,0.13
Cross,32,Titanium Alpha-Beta,11821133824,17752600576,343488.438,0.249,71907528,82767560,818460416,0.1,0.2,0.175
Cross,33,Titanium Alpha-Beta,8325886976,9900806144,219033.594,0.211,61122360,72923504,674436288,0.15,0.05,0.04
Cross,34,Titanium Alpha-Beta,8501400064,10277280768,225155.406,0.213,61762904,70361168,687107136,0.15,0.05,0.085
Cross,35,Titanium Alpha-Beta,8741405696,10816315392,233993.859,0.216,62451888,82087904,702749696,0.15,0.05,0.13
Cross,36,Titanium Alpha-Beta,9044717568,11515022336,245521.219,0.22,63423220,88602704,722609920,0.15,0.05,0.175
Cross,37,Titanium Alpha-Beta,9836345344,12786113536,262740.625,0.224,60834148,80426360,671926720,0.15,0.1,0.04
Cross,38,Titanium Alpha-Beta,10006988800,13342370816,270233.781,0.226,61614164,72823672,685831360,0.15,0.1,0.085
Cross,39,Titanium Alpha-Beta,10235256832,14027042816,280653.594,0.229,62552900,72849032,703844096,0.15,0.1,0.13
Cross,40,Titanium Alpha-Beta,10524259328,14869082112,294075.125,0.233,63737020,74183208,725532032,0.15,0.1,0.175
Cross,41,Titanium Alpha-Beta,11146917888,15576072192,305079.781,0.238,61135424,78870152,669052096,0.15,0.15,0.04
Cross,42,Titanium Alpha-Beta,11308824576,16254717952,314195.969,0.24,62000148,71253384,684983744,0.15,0.15,0.085
Cross,43,Titanium Alpha-Beta,11531080704,17059460096,326396.125,0.243,63083912,74186280,704446208,0.15,0.15,0.13
Cross,44,Titanium Alpha-Beta,11811990528,18037098496,342202.25,0.247,64405656,77487688,727561792,0.15,0.15,0.175
Cross,45,Titanium Alpha-Beta,12403565568,18441822208,350536.031,0.254,69873336,83891592,774132736,0.15,0.2,0.04
Cross,46,Titanium Alpha-Beta,12560155648,19243321344,361361.719,0.255,70418048,77252064,786523904,0.15,0.2,0.085
Cross,47,Titanium Alpha-Beta,12780653568,20178638848,375762.469,0.258,71217992,80313632,801220928,0.15,0.2,0.13
Cross,48,Titanium Alpha-Beta,13057683456,21293412352,394102.438,0.262,72236224,83799760,817242176,0.15,0.2,0.175
Cross,49,Titanium Alpha-Beta,9686432768,12159080448,262580.906,0.228,70136544,80923928,772534656,0.2,0.05,0.04
Cross,50,Titanium Alpha-Beta,9864607744,12649665536,269891.5,0.23,70784888,87376264,782603584,0.2,0.05,0.085
Cross,51,Titanium Alpha-Beta,10098806784,13247161344,279657.562,0.233,71247952,92619576,798740800,0.2,0.05,0.13
Cross,52,Titanium Alpha-Beta,10404531200,14073022464,292857.156,0.237,71930704,94804288,814373568,0.2,0.05,0.175
Cross,53,Titanium Alpha-Beta,11146907648,15300964352,307224.688,0.24,69651112,84372928,773820544,0.2,0.1,0.04
Cross,54,Titanium Alpha-Beta,11310991360,15965601792,316059.344,0.242,70405032,80793984,784652032,0.2,0.1,0.085
Cross,55,Titanium Alpha-Beta,11536585728,16773434368,327989.156,0.245,71060008,80137944,802530176,0.2,0.1,0.13
Cross,56,Titanium Alpha-Beta,11820807168,17748582400,343493.594,0.249,71883304,81993992,818231552,0.2,0.1,0.175
Cross,57,Titanium Alpha-Beta,12402489344,18438993920,350499.531,0.254,69570312,84776688,769950784,0.2,0.15,0.04
Cross,58,Titanium Alpha-Beta,12561769472,19234062336,361388.938,0.255,70479728,76593456,782329408,0.2,0.15,0.085
Cross,59,Titanium Alpha-Beta,12778959872,20176781312,375710.719,0.258,71247296,80182928,800602752,0.2,0.15,0.13
Cross,60,Titanium Alpha-Beta,13056374784,21291644928,394149.344,0.262,72207464,84340400,816853952,0.2,0.15,0.175
Cross,61,Titanium Alpha-Beta,13617317888,21674590208,397552.438,0.268,69962288,87385280,766589440,0.2,0.2,0.04
Cross,62,Titanium Alpha-Beta,13767756800,22600855552,410539.562,0.27,70600368,83691048,779399040,0.2,0.2,0.085
Cross,63,Titanium Alpha-Beta,13980068864,23669999616,427445.656,0.273,71519112,87081488,794467264,0.2,0.2,0.13
Cross,64,Titanium Alpha-Beta,14258173952,24917680128,449041.375,0.277,72628416,90926608,810094848,0.2,0.2,0.175
